IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.118.42.177,443,443,true,FRA,Europe,Frankfurt,327,5.35
34.141.101.125,443,443,true,FRA,Europe,Frankfurt,263,5.34
34.116.131.175,443,443,true,FRA,Europe,Frankfurt,344,5.33
34.154.185.5,443,443,true,FRA,Europe,Frankfurt,250,5.33
34.65.1.60,443,443,true,FRA,Europe,Frankfurt,273,5.33
34.89.215.58,443,443,true,FRA,Europe,Frankfurt,332,5.32
34.116.248.223,443,443,true,FRA,Europe,Frankfurt,282,5.32
34.65.235.106,443,443,true,FRA,Europe,Frankfurt,256,5.30
34.65.35.144,443,443,true,FRA,Europe,Frankfurt,260,5.28
34.116.188.43,443,443,true,FRA,Europe,Frankfurt,373,5.28
34.90.76.174,443,443,true,FRA,Europe,Frankfurt,256,5.27
34.34.9.137,443,443,true,FRA,Europe,Frankfurt,284,5.27
34.154.113.133,443,443,true,FRA,Europe,Frankfurt,252,5.27
34.159.23.226,443,443,true,FRA,Europe,Frankfurt,273,5.26
34.118.69.245,443,443,true,FRA,Europe,Frankfurt,283,5.26
34.65.235.187,443,443,true,FRA,Europe,Frankfurt,279,5.26
34.89.151.141,443,443,true,FRA,Europe,Frankfurt,186,5.25
34.154.110.195,443,443,true,FRA,Europe,Frankfurt,259,5.25
34.65.242.41,443,443,true,FRA,Europe,Frankfurt,259,5.25
34.107.106.55,443,443,true,FRA,Europe,Frankfurt,282,5.24
34.89.146.12,443,443,true,FRA,Europe,Frankfurt,263,5.24
34.116.253.117,443,443,true,FRA,Europe,Frankfurt,282,5.24
34.116.202.71,443,443,true,FRA,Europe,Frankfurt,281,5.22
34.154.13.92,443,443,true,FRA,Europe,Frankfurt,185,5.21
34.141.208.110,443,443,true,FRA,Europe,Frankfurt,267,5.20
34.116.191.142,443,443,true,FRA,Europe,Frankfurt,222,5.20
34.90.76.174,443,443,true,FRA,Europe,Frankfurt,203,5.20
34.118.32.141,443,443,true,FRA,Europe,Frankfurt,289,5.19
34.91.175.12,443,443,true,FRA,Europe,Frankfurt,280,5.19
34.141.71.224,443,443,true,FRA,Europe,Frankfurt,269,5.18
34.89.156.78,443,443,true,FRA,Europe,Frankfurt,255,5.18
34.141.84.210,443,443,true,FRA,Europe,Frankfurt,195,5.18
34.116.218.201,443,443,true,FRA,Europe,Frankfurt,285,5.18
34.116.154.182,443,443,true,FRA,Europe,Frankfurt,272,5.15
34.65.161.128,443,443,true,FRA,Europe,Frankfurt,254,5.15
34.118.122.67,443,443,true,FRA,Europe,Frankfurt,301,5.14
34.32.192.222,443,443,true,FRA,Europe,Frankfurt,279,5.13
34.141.191.66,443,443,true,FRA,Europe,Frankfurt,273,5.12
34.118.6.177,443,443,true,FRA,Europe,Frankfurt,313,5.12
34.65.139.231,443,443,true,FRA,Europe,Frankfurt,241,5.12
34.118.1.64,443,443,true,FRA,Europe,Frankfurt,270,5.11
34.141.239.2,443,443,true,FRA,Europe,Frankfurt,278,5.10
34.159.107.80,443,443,true,FRA,Europe,Frankfurt,313,5.08
34.32.192.222,443,443,true,FRA,Europe,Frankfurt,267,5.06
34.118.73.153,443,443,true,FRA,Europe,Frankfurt,302,5.06
34.118.56.37,443,443,true,FRA,Europe,Frankfurt,283,5.05
34.154.0.39,443,443,true,FRA,Europe,Frankfurt,265,5.04
34.116.249.207,443,443,true,FRA,Europe,Frankfurt,266,5.04
34.32.230.130,443,443,true,FRA,Europe,Frankfurt,202,5.03
34.116.141.181,443,443,true,FRA,Europe,Frankfurt,347,5.02
34.107.46.133,443,443,true,FRA,Europe,Frankfurt,204,5.02
34.65.199.212,443,443,true,FRA,Europe,Frankfurt,261,5.02
34.118.125.121,443,443,true,FRA,Europe,Frankfurt,284,5.01
34.159.236.15,443,443,true,FRA,Europe,Frankfurt,295,5.01
34.118.51.1,443,443,true,FRA,Europe,Frankfurt,273,4.97
34.118.95.114,443,443,true,FRA,Europe,Frankfurt,337,4.96
34.116.147.108,443,443,true,FRA,Europe,Frankfurt,353,4.96
34.118.97.155,443,443,true,FRA,Europe,Frankfurt,319,4.96
34.116.248.223,443,443,true,FRA,Europe,Frankfurt,276,4.95
34.116.204.55,443,443,true,FRA,Europe,Frankfurt,329,4.95
34.118.19.99,443,443,true,FRA,Europe,Frankfurt,316,4.95
34.118.31.189,443,443,true,FRA,Europe,Frankfurt,283,4.94
