IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
141.144.200.5,443,443,true,FRA,Europe,Frankfurt,264,4.41
89.168.118.76,443,443,true,FRA,Europe,Frankfurt,193,4.38
84.235.164.34,443,443,true,FRA,Europe,Frankfurt,263,4.38
141.147.107.29,443,443,true,FRA,Europe,Frankfurt,358,4.36
144.21.36.79,443,443,true,FRA,Europe,Frankfurt,203,4.36
152.67.135.35,443,443,true,FRA,Europe,Frankfurt,336,4.33
141.147.95.215,443,443,true,FRA,Europe,Frankfurt,298,4.33
138.2.139.149,443,443,true,FRA,Europe,Frankfurt,267,4.33
146.235.219.98,443,443,true,SJC,North America,San Jose,207,4.31
152.70.62.48,443,443,true,FRA,Europe,Frankfurt,340,4.30
152.70.155.147,8443,8443,true,LAX,North America,Los Angeles,221,4.29
158.178.158.134,443,443,true,FRA,Europe,Frankfurt,308,4.21
158.101.212.245,443,443,true,FRA,Europe,Frankfurt,263,4.21
132.145.237.91,443,443,true,FRA,Europe,Frankfurt,203,4.18
155.248.202.141,443,443,true,SJC,North America,San Jose,203,4.18
141.147.91.13,443,443,true,FRA,Europe,Frankfurt,275,4.17
192.18.148.248,443,443,true,YYZ,North America,Toronto,234,4.14
132.145.12.99,443,443,true,FRA,Europe,Frankfurt,348,4.12
158.178.144.73,443,443,true,FRA,Europe,Frankfurt,331,4.11
158.178.206.197,8443,443,true,CDG,Europe,Paris,256,4.09
141.148.245.182,443,443,true,FRA,Europe,Frankfurt,330,4.08
132.226.226.100,2053,443,true,ICN,Asia Pacific,Seoul,109,4.06
132.145.54.84,8443,443,true,LHR,Europe,London,251,4.06
131.186.33.118,443,443,true,NRT,Asia Pacific,Tokyo,69,4.03
150.230.146.159,443,443,true,FRA,Europe,Frankfurt,327,4.01
141.148.224.16,443,443,true,FRA,Europe,Frankfurt,290,3.95
158.101.202.193,443,443,true,FRA,Europe,Frankfurt,280,3.81
158.180.60.52,443,443,true,FRA,Europe,Frankfurt,329,3.80
152.67.231.219,443,443,true,SJC,North America,San Jose,206,3.79
132.145.54.92,443,443,true,LHR,Europe,London,321,3.79
152.70.148.46,2053,443,true,LAX,North America,Los Angeles,234,3.78
144.21.35.172,443,443,true,FRA,Europe,Frankfurt,380,3.75
138.3.241.73,443,443,true,FRA,Europe,Frankfurt,256,3.74
141.147.32.228,443,443,true,FRA,Europe,Frankfurt,258,3.73
130.162.246.198,443,443,true,FRA,Europe,Frankfurt,327,3.72
144.24.161.142,8443,443,true,FRA,Europe,Frankfurt,262,3.71
141.147.43.93,443,443,true,FRA,Europe,Frankfurt,249,3.70
158.101.183.137,443,443,true,FRA,Europe,Frankfurt,328,3.70
132.145.79.254,443,443,true,LHR,Europe,London,250,3.70
193.122.60.177,443,443,true,FRA,Europe,Frankfurt,258,3.69
141.144.205.204,443,443,true,FRA,Europe,Frankfurt,331,3.67
140.238.1.158,443,443,true,HKG,Asia Pacific,Hong Kong,130,3.66
141.148.229.106,443,443,true,AMS,Europe,Amsterdam,260,3.65
130.61.135.32,443,443,true,FRA,Europe,Frankfurt,258,3.61
129.146.2.27,443,443,true,LAX,North America,Los Angeles,215,3.59
130.162.181.94,443,443,true,FRA,Europe,Frankfurt,342,3.57
