IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.198.139,2083,2083,true,SIN,Asia Pacific,Singapore,94,4.19
47.80.16.240,443,443,true,NRT,Asia Pacific,Tokyo,68,4.18
47.80.2.19,443,443,true,NRT,Asia Pacific,Tokyo,70,4.17
47.250.153.57,80,443,true,SIN,Asia Pacific,Singapore,62,4.17
8.217.66.3,2096,2096,true,HKG,Asia Pacific,Hong Kong,98,4.16
47.250.147.84,80,443,true,SIN,Asia Pacific,Singapore,41,4.16
8.219.198.34,2083,2083,true,SIN,Asia Pacific,Singapore,45,4.16
47.254.236.28,80,443,true,SIN,Asia Pacific,Singapore,8,4.16
47.250.147.26,80,443,true,SIN,Asia Pacific,Singapore,55,4.16
47.80.2.19,443,443,true,NRT,Asia Pacific,Tokyo,81,4.15
8.210.55.134,2083,2083,true,HKG,Asia Pacific,Hong Kong,47,4.15
47.250.152.215,80,443,true,SIN,Asia Pacific,Singapore,44,4.15
8.219.51.211,2087,2087,true,SIN,Asia Pacific,Singapore,58,4.14
47.243.169.63,2053,2053,true,HKG,Asia Pacific,Hong Kong,66,4.14
47.237.0.31,2053,2053,true,SIN,Asia Pacific,Singapore,33,4.14
8.219.124.227,2083,2083,true,SIN,Asia Pacific,Singapore,61,4.14
47.238.43.79,2083,2083,true,HKG,Asia Pacific,Hong Kong,107,4.14
8.219.50.180,8443,8443,true,SIN,Asia Pacific,Singapore,70,4.14
47.80.16.240,443,443,true,NRT,Asia Pacific,Tokyo,78,4.14
8.220.223.223,443,443,true,NRT,Asia Pacific,Tokyo,112,4.13
47.243.139.243,8443,8443,true,HKG,Asia Pacific,Hong Kong,58,4.13
47.250.153.55,80,443,true,SIN,Asia Pacific,Singapore,42,4.13
47.250.40.246,80,443,true,SIN,Asia Pacific,Singapore,44,4.13
47.250.176.160,80,443,true,SIN,Asia Pacific,Singapore,28,4.13
8.222.191.138,2087,2087,true,SIN,Asia Pacific,Singapore,86,4.13
47.250.159.36,80,443,true,SIN,Asia Pacific,Singapore,36,4.13
8.210.207.214,2087,2087,true,HKG,Asia Pacific,Hong Kong,135,4.12
47.237.86.185,2083,2083,true,SIN,Asia Pacific,Singapore,150,4.12
47.250.150.193,80,443,true,SIN,Asia Pacific,Singapore,28,4.12
47.242.202.230,443,443,true,HKG,Asia Pacific,Hong Kong,79,4.12
47.250.152.116,80,443,true,SIN,Asia Pacific,Singapore,57,4.11
47.250.59.84,80,443,true,SIN,Asia Pacific,Singapore,57,4.11
47.250.155.143,80,443,true,SIN,Asia Pacific,Singapore,44,4.11
8.213.208.6,80,443,true,BKK,Asia Pacific,Bangkok,27,4.11
47.250.49.148,80,443,true,SIN,Asia Pacific,Singapore,41,4.11
8.219.42.72,2096,2096,true,SIN,Asia Pacific,Singapore,96,4.10
47.76.29.115,2053,2053,true,HKG,Asia Pacific,Hong Kong,66,4.10
47.250.40.144,80,443,true,SIN,Asia Pacific,Singapore,57,4.10
47.237.0.31,2083,2083,true,SIN,Asia Pacific,Singapore,53,4.09
47.250.157.38,80,443,true,SIN,Asia Pacific,Singapore,77,4.09
8.222.208.38,2096,2096,true,SIN,Asia Pacific,Singapore,87,4.09
8.210.164.75,2096,2096,true,HKG,Asia Pacific,Hong Kong,109,4.08
8.218.188.129,2096,2096,true,HKG,Asia Pacific,Hong Kong,100,4.08
8.219.237.250,2083,2083,true,SIN,Asia Pacific,Singapore,132,4.08
47.250.50.53,80,443,true,SIN,Asia Pacific,Singapore,54,4.07
8.219.0.162,2053,2053,true,SIN,Asia Pacific,Singapore,55,4.07
47.237.82.15,2083,2083,true,SIN,Asia Pacific,Singapore,109,4.07
8.210.101.157,2087,2087,true,HKG,Asia Pacific,Hong Kong,69,4.07
47.250.176.132,80,443,true,SIN,Asia Pacific,Singapore,28,4.07
47.236.104.11,2083,2083,true,SIN,Asia Pacific,Singapore,74,4.06
47.76.213.245,2053,2053,true,HKG,Asia Pacific,Hong Kong,43,4.06
8.219.100.168,2053,2053,true,SIN,Asia Pacific,Singapore,88,4.05
8.218.18.235,2087,2087,true,HKG,Asia Pacific,Hong Kong,108,4.05
47.243.18.199,2087,2087,true,HKG,Asia Pacific,Hong Kong,90,4.04
47.243.86.79,2053,2053,true,HKG,Asia Pacific,Hong Kong,62,4.04
8.213.208.6,80,443,true,BKK,Asia Pacific,Bangkok,77,4.04
8.218.211.124,80,443,true,SIN,Asia Pacific,Singapore,110,4.03
47.250.155.240,80,443,true,SIN,Asia Pacific,Singapore,56,4.03
47.250.13.77,80,443,true,SIN,Asia Pacific,Singapore,46,4.02
8.219.78.188,8443,8443,true,SIN,Asia Pacific,Singapore,62,4.02
47.237.10.1,2053,2053,true,SIN,Asia Pacific,Singapore,64,4.02
47.250.57.9,80,443,true,SIN,Asia Pacific,Singapore,58,4.02
8.218.2.181,2083,2083,true,HKG,Asia Pacific,Hong Kong,119,4.02
8.217.49.34,2087,2087,true,HKG,Asia Pacific,Hong Kong,72,4.01
8.219.139.13,2053,2053,true,SIN,Asia Pacific,Singapore,48,4.00
47.243.206.150,2087,2087,true,HKG,Asia Pacific,Hong Kong,39,4.00
47.245.105.224,2083,2083,true,SIN,Asia Pacific,Singapore,21,4.00
